"","Organization","Date.of.Request","Question","Information.Provided","Interview...Date","type.of.media..print..TV..etc..","Topic"
"3444","exclibur","2014-09-26","Requesting statement about the operation of Line 9B. ","Confirmed it was not in operation and required leave to open. ","2014-09-26","print","line 9"
"3445","platts","2014-09-29","Looking for Orca LNG.","Sent link. ","2014-09-29","print/web","other major application"
"3446","bloomberg","2014-09-29","Info about 15 month timelines. ","Clarified it in reference to Energy East. ","2014-09-29","print/web","energy east"
"3447","burnaby now","2014-09-29","Details on NEB oral hearing for TMX","Provided link to letter; Details of oral hearing","2014-09-29","print","trans mountain"
"3448","radio canada","2014-09-29","Questions on resolution passed at UBCM meeting regarding TMX process; Questions about oral hering process","UBCM has not filed a formal request with the NEB to change hearing process; Discussed oral hearing process","2014-09-29","radio","trans mountain"
"3449","burnaby newsleader","2014-09-29","Why is the NEB not holding oral hearing in Vancouver","Logistical reasonse as per media lines","2014-09-29","print","trans mountain"
"3450","financial post","2014-09-30","Info on Plains Midstream Section 14 letter","provided update","2014-09-30","print/web","safety and environmental protection"
"3451","calgary herald","2014-09-30","Info on Plains Midstream Section 14 letter","provided update","2014-09-30","print/web","safety and environmental protection"
"3452","vancouver observer","2014-09-30","Can the NEB consider a constitutional question? What are the next steps now that the NEB has turned down TMX request for access order?","Media Lines; Provided link to NEB letter","2014-09-30","online","trans mountain"
"3453","red deer advocate","2014-10-01","Info on Plains Midstream Section 14 letter","provided update","2014-10-01","print/web","safety and environmental protection"
"3454","daily oil bulletin","2014-10-01","Info on Plains Midstream Section 14 letter","provided update","2014-10-01","print/web","safety and environmental protection"
"3455","burnaby now","2014-10-01","You said the NEB has the legal authority to rule on a constitutional question. But in the response to TMX constitutional question, NEB says the City and TMX must demonstrate that the NEB has legal authority to determine that Burnaby's specific bylaw is invalid. Please explain","Media Lines; Provided details on oral hearing","2014-10-02","print","trans mountain"
"3456","vancouver observer","2014-10-02","Seeking comment on ForestEthics legal challenge re: participation in TMX","Cannot comment as this is with the courts","2014-10-06","web","trans mountain"
"3457","burnaby now","2014-10-02","Can NEB rule on constitutional question as it said in its process doc that TMX/Burnaby must argue this point","Media lines","2014-10-02","web/print","trans mountain"
"3458","vancouver observer","2014-10-02","Can the NEB comment on the ForestEthics legal challenge re: participation in TMX hearing","As this motion is expected to be filed with the Court of Appeal, the NEB really cannot comment on the topic","2014-10-06","online","trans mountain"
"3459","insideclimatenews","2014-10-03","Info on Line 3 Inpsection Officer Order","Responded using approved media lines","2014-10-06","online","safety and environmental protection"
"3460","bloomberg","2014-10-06","Update on TransMountain Pressure restriction","provided update","2014-10-06","print/web","safety and environmental protection"
"3461","radio canada","2014-10-06","Is Enbridge Line 9B set to open Oct 15?","There is no date to open.  Enbridge must satisfy all conditions","2014-10-06","","line 9"
"3462","argus media","2014-10-06","Looking for details of the Alliance tolls hearing - schedule","Provided link to Hearing Order","2014-10-06","online","other major application"
"3463","burnaby now","2014-10-06","When will the decision on new hearing participants for Burnaby Mountain route be released?","Expect to release in the next few weeks","2014-10-07","print","trans mountain"
"3464","la presse","2014-10-07","Question on Letter to Mayor Coderre (timelines)","responded using approved lines","2014-10-07","print/web","other major application"
"3465","platts","2014-10-07","Question on Letter to Mayor Coderre (timelines)","responded using approved lines","2014-10-07","print/web","other major application"
"3466","tva","2014-10-07","Question on Letter to Mayor Coderre (timelines)","responded using approved lines","2014-10-07","tv","other major application"
"3467","24 hours/qmi vancouver","2014-10-07","questions about TMX oral hearing","Media lines`","2014-10-07","web","trans mountain"
"3468","reuters","2014-10-07","Wanting information about the SSRW proceedings - can she listen in, or attend","Explained that we do not yet have a proposal from the company - so no public proceedings as of yet. Will check out website","2014-10-07","online","arctic"
"3469","vancouver 24 hours","2014-10-07","More information about TMX oral hearing; MLA Andrew Weaver's motion to compel","provided link to Hearing authorities and NEB response to motions to compel","2014-10-07","online","trans mountain"
"3470","reuters","2014-10-07","Questions about Trans Mountain oral hearing","Media Lines; Provided details on oral hearing","2014-10-07","online","trans mountain"
